Player,Position,Age,Exp,team,Type,2024 Salary
Saddiq Bey,SF,24.8,4, ATL,RFA : Bird,"$3,257,576 "
Garrison Mathews,SG,27.3,5, ATL,Club / $2.2M,"$2,057,563 "
Trent Forrest,PG,25.7,4, ATL,UFA : Early Bird,"$553,151 "
Seth Lundy,SG,23.9,1, ATL,RFA : Two-Way,-
Nicolas Claxton,C,24.8,5, BKN,UFA : Bird,"$8,625,000 "
Dennis Smith Jr.,PG,26.2,7, BKN,UFA : Non-Bird,"$2,528,233 "
Lonnie Walker IV,SG,25.2,6, BKN,UFA : Non-Bird,"$2,346,614 "
Trendon Watford,PF,23.2,3, BKN,RFA : Non-Bird,"$2,019,706 "
Keon Johnson,SG,21.9,3, BKN,RFA : Two-Way,-
Jaylen Martin,F,20.1,1, BKN,RFA : Two-Way,-
Harry Giles,C,25.8,5, BKN,UFA : Two-Way,-
Jacob Gilyard,PG,25.6,2, BKN,RFA : Two-Way,-
Jrue Holiday,PG,33.7,15, BOS,Player / $39.4M,"$33,749,333 "
Sviatoslav Mykhailiuk,SG,26.7,6, BOS,UFA : Non-Bird,"$2,346,614 "
Oshae Brissett,SF,25.7,5, BOS,Player / $2.5M,"$2,314,473 "
Luke Kornet,C,28.6,7, BOS,UFA : Bird,"$2,273,291 "
Sam Hauser,SF,26.2,3, BOS,Club / $2.1M,"$1,886,069 "
Xavier Tillman,C,25.1,4, BOS,UFA : Bird,"$1,632,821 "
J.D. Davison,PG,21.4,2, BOS,RFA : Two-Way,-
Neemias Queta,C,24.6,3, BOS,RFA : Two-Way,-
Miles Bridges,SF,25.9,6, CHA,UFA : Bird,"$7,921,300 "
JT Thor,PF,21.5,3, CHA,Club / $2M,"$1,659,553 "
Aleksej Pokusevski,PF,22.2,4,OKC,UFA : Non-Bird,"$565,176 "
Marques Bolden,C,25.8,3, CHA,RFA : Two-Way,"$11,608 "
Amari Bailey,PG,20,1, CHA,RFA : Two-Way,-
DeMar DeRozan,SF,34.5,15, CHI,UFA : Bird,"$27,300,000 "
Lonzo Ball,PG,26.3,7, CHI,Club / $21.4M,"$20,000,000 "
Patrick Williams,SF,22.5,4, CHI,RFA : Bird,"$8,025,410 "
Andre Drummond,C,30.5,12, CHI,UFA : Early Bird,"$3,280,000 "
Torrey Craig,SF,33.2,7, CHI,Player / $2.8M,"$2,686,788 "
Adama Sanogo,PF,22,1, CHI,RFA : Two-Way,-
Henri Drell,SF,23.8,1, CHI,RFA : Two-Way,-
Isaac Okoro,SG,23.1,4, CLE,RFA : Bird,"$7,270,829 "
Tristan Thompson,C,32.9,13, CLE,UFA : Non-Bird,"$3,196,448 "
Damian Jones,C,28.7,8, CLE,UFA : Early Bird,"$2,442,525 "
Pete Nance,PF,24,1, CLE,RFA : Two-Way,"$6,434 "
Isaiah Mobley,PF,23.4,2, CLE,RFA : Two-Way,-
Emoni Bates,SG,20.1,1, CLE,RFA : Two-Way,-
Richaun Holmes,C,30.3,9, DAL,Player / $12.9M,"$11,630,640 "
Derrick Jones Jr.,SF,27,8, DAL,UFA : Non-Bird,"$3,280,000 "
Markieff Morris,PF,34.5,13, DAL,UFA : Early Bird,"$3,196,448 "
Greg Brown III,PF,22.5,3, DAL,RFA : Two-Way,-
Brandon Williams,PG,24.2,2, DAL,RFA : Two-Way,-
Alex Fudge,F,20.8,1, DAL,RFA : Two-Way,-
Kentavious Caldwell-Pope,SG,31,11, DEN,Player / $15.4M,"$15,072,562 "
Reggie Jackson,PG,33.8,13, DEN,Player / $5.3M,"$5,125,000 "
DeAndre Jordan,C,35.6,16, DEN,UFA : Early Bird,"$3,196,448 "
Justin Holiday,SG,34.8,11, DEN,UFA : Non-Bird,"$3,196,448 "
Vlatko Cancar,PF,26.8,5, DEN,Club / $2.3M,"$2,271,775 "
Jay Huff,C,25.5,3, DEN,RFA : Two-Way,-
Braxton Key,SF,27,2, DEN,RFA : Two-Way,-
James Wiseman,C,22.9,4, DET,RFA : Bird,"$9,904,960 "
Simone Fontecchio,SF,28.2,2, DET,RFA : Early Bird,"$3,125,000 "
Malachi Flynn,PG,25.8,4, DET,RFA : Bird,"$2,504,346 "
Jared Rhoden,SG,24.5,2, DET,RFA : Two-Way,-
Klay Thompson,SG,34,13, GSW,UFA : Bird,"$37,980,720 "
Gary Payton II,PG,31.2,8, GSW,Player / $9.1M,"$8,715,000 "
Dario Saric,PF,29.8,8, GSW,UFA : Non-Bird,"$2,709,849 "
Lester Quinones,SG,23.2,2, GSW,RFA : Non-Bird,"$548,815 "
Usman Garuba,PF,21.9,3, GSW,RFA : Two-Way,-
Jerome Robinson,SG,27,4, GSW,RFA : Two-Way,-
Jeff Green,PF,37.5,17, HOU,Club / $9.6M,"$8,000,000 "
Jae’Sean Tate,SF,28.3,4, HOU,Club / $7.1M,"$6,876,811 "
Reggie Bullock,SF,32.9,11, HOU,UFA : Non-Bird,"$3,196,448 "
Boban Marjanovic,C,35.5,9, HOU,UFA : Bird,"$2,891,467 "
Aaron Holiday,PG,27.4,6, HOU,UFA : Non-Bird,"$2,346,614 "
Jermaine Samuels,SF,25.2,1, HOU,RFA : Two-Way,-
Jeenathan Williams,SG,25,2, HOU,RFA : Non-Bird,-
Nate Hinton,SG,24.7,3, HOU,RFA : Two-Way,-
Pascal Siakam,PF,29.9,8, IND,UFA : Bird,"$34,226,304 "
Doug McDermott,SF,32.2,10, IND,UFA : Bird,"$13,750,000 "
Obi Toppin,PF,26,4, IND,RFA : Bird,"$5,529,623 "
Jalen Smith,PF,23.9,4, IND,Player / $5.4M,"$5,043,773 "
James Johnson,PF,37,14, IND,UFA : Bird,"$1,230,816 "
Kendall Brown,SF,20.8,2, IND,UFA : Bird,-
Isaiah Wong,PG,23.1,1, IND,RFA : Two-Way,-
Oscar Tshiebwe,PF,24.2,1, IND,RFA : Two-Way,-
Paul George,SG,33.8,14, LAC,Player / $48.8M,"$44,066,367 "
James Harden,SG,34.5,14, LAC,UFA : Bird,"$34,320,000 "
P.J. Tucker,PF,38.8,13, LAC,Player / $11.5M,"$11,014,500 "
Daniel Theis,C,31.9,7, LAC,UFA : Non-Bird,"$6,928,876 "
Mason Plumlee,C,33.9,11, LAC,UFA : Bird,"$5,000,000 "
Russell Westbrook,PG,35.2,16, LAC,Player / $4M,"$3,931,632 "
Brandon Boston Jr,SG,22.2,3, LAC,RFA : Bird,"$1,441,624 "
Moussa Diabate,PF,22.1,2, LAC,RFA : Two-Way,-
Xavier Moon,SG,29.2,3, LAC,RFA : Two-Way,-
LeBron James,PF,39.2,21, LAL,Player / $51.4M,"$49,511,644 "
D'Angelo Russell,PG,28,9, LAL,UFA : Bird,"$18,000,000 "
Taurean Prince,PF,29.9,8, LAL,UFA : Non-Bird,"$4,516,000 "
Christian Wood,C,28.4,8, LAL,Player / $3M,"$2,872,945 "
Mohamed Bamba,C,25.8,6, LAL,UFA : Non-Bird,"$2,346,614 "
Jaxson Hayes,C,23.8,5, LAL,Player / $2.5M,"$2,314,473 "
Cam Reddish,SF,24.5,5, LAL,Player / $2.5M,"$2,314,473 "
Spencer Dinwiddie,PG,30.8,9, LAL,UFA : Non-Bird,"$1,554,664 "
Max Christie,SG,21,2, LAL,RFA : Early Bird,"$1,368,823 "
Colin Castleton,PF,23.8,1, LAL,RFA : Two-Way,-
Skylar Mays,SG,26.4,4, LAL,RFA : Two-Way,-
Luke Kennard,SG,27.7,7, MEM,Club / $14.8M,"$14,000,000 "
Lamar Stevens,SF,26.6,4, MEM,UFA : Non-Bird,"$2,092,354 "
Jordan Goodwin,PG,25.3,3, MEM,RFA : Two-Way,"$11,608 "
Scotty Pippen Jr.,PG,23.2,2, MEM,RFA : Two-Way,-
Caleb Martin,SF,28.4,5, MIA,Player / $7.1M,"$6,802,950 "
Kevin Love,C,35.4,16, MIA,Player / $4M,"$3,931,632 "
Josh Richardson,SG,30.4,9, MIA,Player / $3.1M,"$2,971,310 "
Thomas Bryant,C,26.6,7, MIA,Player / $2.8M,"$2,686,788 "
Haywood Highsmith,F,27.2,4, MIA,RFA : Bird,"$1,315,247 "
Delon Wright,PG,31.8,9, MIA,UFA : Non-Bird,"$947,205 "
Jamal Cain,SF,24.9,2, MIA,RFA : Two-Way,-
Cole Swider,F,24.8,2, MIA,RFA : Two-Way,-
Drew Peterson,F,24.2,1, MIA,RFA : Two-Way,-
Alondes Williams,G,24.7,1, MIA,RFA : Two-Way,-
Malik Beasley,SG,27.2,8, MIL,UFA : Non-Bird,"$15,000,000 "
Patrick Beverley,PG,35.6,12, MIL,UFA : Non-Bird,"$3,196,448 "
Jae Crowder,SF,33.6,12, MIL,UFA : Bird,"$3,196,448 "
Wesley Matthews,SG,37.3,15, MIL,UFA : Non-Bird,"$3,196,448 "
Thanasis Antetokounmpo,SF,31.6,6, MIL,UFA : Bird,"$2,346,614 "
Jaylin Galloway,F,21.2,1, MIL,RFA : Two-Way,-
Monte Morris,PG,28.7,7, MIN,UFA : Bird,"$9,258,332 "
Kyle Anderson,PF,30.4,10, MIN,UFA : Early Bird,"$9,000,000 "
Jordan McLaughlin,PG,27.8,5, MIN,UFA : Bird,"$2,160,000 "
A.J. Lawson,F,23.6,2, MIN,RFA : Early Bird,"$455,620 "
Luka Garza,C,25.2,3, MIN,RFA : Two-Way,-
Daishen Nix,PG,22,3, MIN,RFA : Non-Bird,-
Terquavion Smith,SG,21.2,1, NBA Prospects,RFA : Two-Way,-
Jonas Valanciunas,C,31.8,12, NOP,UFA : Bird,"$15,067,500 "
Cody Zeller,C,31.3,11, NOP,UFA : Non-Bird,"$3,196,448 "
Jose Alvarado,PG,25.8,3, NOP,Club / $2M,"$1,722,053 "
Jeremiah Robinson-Earl,PF,23.3,3, NOP,Club / $2.2M,"$1,422,907 "
Naji Marshall,SF,26.1,4, NOP,UFA : Bird,"$1,337,821 "
Dereon Seabron,SG,23.8,2, NOP,RFA : Two-Way,-
Matt Ryan,SF,26.8,3, NOP,RFA : Two-Way,-
Evan Fournier,SG,31.3,12, NYK,Club / $19M,"$18,250,000 "
Alec Burks,SG,32.6,13, NYK,UFA : Bird,"$10,012,800 "
Isaiah Hartenstein,C,25.8,6, NYK,UFA : Early Bird,"$8,000,000 "
Precious Achiuwa,PF,24.4,4, NYK,RFA : Bird,"$3,128,282 "
Charlie Brown Jr.,SG,26.1,4, NYK,RFA : Two-Way,-
Duane Washington Jr.,PG,23.9,3, NYK,RFA : Two-Way,-
Gordon Hayward,SF,33.9,14, OKC,UFA : Bird,"$30,000,000 "
Mike Muscala,C,32.7,11, OKC,UFA : Non-Bird,"$3,500,000 "
Isaiah Joe,SG,24.7,4, OKC,Club / $2.2M,"$1,999,440 "
Aaron Wiggins,SG,25.2,3, OKC,Club / $2M,"$1,597,053 "
Lindy Waters III,SF,26.6,3, OKC,Club / $2.2M,"$1,481,533 "
Bismack Biyombo,C,31.5,13, OKC,UFA : Non-Bird,"$1,194,075 "
Keyontae Johnson,SF,23.8,1, OKC,RFA : Two-Way,-
Olivier Sarr,C,25,3, OKC,RFA : Two-Way,-
TyTy Washington Jr.,PG,22.2,2, OKC,RFA : Two-Way,-
Markelle Fultz,PG,25.8,7, ORL,UFA : Bird,"$16,666,667 "
Gary Harris,SG,29.4,10, ORL,UFA : Bird,"$13,000,000 "
Joe Ingles,SF,36.4,10, ORL,Club / $11M,"$11,000,000 "
Moritz Wagner,C,26.8,6, ORL,Club / $8M,"$8,000,000 "
Chuma Okeke,PF,25.5,4, ORL,RFA : Bird,"$3,774,548 "
Bol Bol,PF,24.2,5, ORL,UFA : Non-Bird,"$2,165,000 "
Goga Bitadze,C,24.6,5, ORL,UFA : Early Bird,"$1,339,383 "
Admiral Schofield,SF,26.9,4, ORL,RFA : Two-Way,"$1,251,873 "
Kevon Harris,SG,26.7,2, ORL,RFA : Two-Way,-
Trevelin Queen,SG,27,3, ORL,RFA : Two-Way,-
Tobias Harris,PF,31.6,13, PHI,UFA : Bird,"$36,000,000 "
Kyle Lowry,PG,37.9,18, PHI,UFA : Non-Bird,"$28,543,576 "
Buddy Hield,SG,31.2,8, PHI,UFA : Bird,"$23,500,000 "
Robert Covington,PF,33.2,11, PHI,UFA : Bird,"$12,000,000 "
Nicolas Batum,SF,35.2,16, PHI,UFA : Bird,"$11,277,084 "
De'Anthony Melton,SG,25.8,6, PHI,UFA : Bird,"$8,656,922 "
Tyrese Maxey,PG,23.3,4, PHI,RFA : Bird,"$3,038,140 "
Kelly Oubre Jr.,SF,28.2,9, PHI,UFA : Non-Bird,"$2,891,467 "
Cameron Payne,PG,29.5,9, PHI,UFA : Non-Bird,"$2,891,467 "
Kenyon Martin Jr.,PF,23.1,4, PHI,UFA : Bird,"$1,532,398 "
Ricky Council IV,G,22.6,1, PHI,RFA : Two-Way,-
Jeff Dowtin,PG,26.8,3, PHI,RFA : Two-Way,-
Grayson Allen,SG,28.3,6, PHX,UFA : Bird,"$9,350,000 "
Royce O'Neale,SF,30.7,7, PHX,UFA : Bird,"$9,000,000 "
Eric Gordon,SG,35.2,16, PHX,Player / $3.4M,"$3,276,360 "
Josh Okogie,SG,25.5,6, PHX,Player / $3M,"$2,886,336 "
Damion Lee,SG,31.3,7, PHX,Player / $2.8M,"$2,686,788 "
Udoka Azubuike,C,24.4,4, PHX,UFA : Two-Way,"$2,537,811 "
Yuta Watanabe,SF,29.3,6, PHX,Player / $2.7M,"$2,500,629 "
