#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,DeMar DeRozan,CHI,59,37.8,22.9,7.8,16.6,47.1,0.9,2.8,34.1,6.3,7.4,86,0.6,3.5,4.1,5.3,1.1,0.6,1.5,22.7
2,Luka Doncic,DAL,53,37.5,34.5,11.7,23.7,49.6,3.9,10.2,38,7.2,9.2,78.4,0.8,8.1,8.9,9.7,1.5,0.6,3.9,37.4
3,Tyrese Maxey,PHI,55,37.4,26,9,20.1,44.9,3.1,8.1,37.8,4.9,5.6,87.1,0.6,3.2,3.7,6.3,1,0.5,1.7,24
4,Miles Bridges,CHA,50,37.4,21.4,8.2,17.7,46.2,2.4,6.6,37.2,2.6,3,84.8,1,6.5,7.5,3.3,1,0.5,2,21.7
5,Kevin Durant,PHX,54,37.2,27.8,10.1,19.1,52.8,2.2,5.1,42.1,5.5,6.4,85.6,0.6,6.1,6.7,5.5,0.9,1.3,3.3,28.9
6,Fred VanVleet,HOU,53,36.8,16.5,5.5,13.5,40.8,2.9,7.9,37.4,2.6,3,85.6,0.4,3.3,3.8,7.9,1.1,0.9,1.7,20.1
7,Coby White,CHI,61,36.7,19.6,7,15.3,45.4,2.8,7.3,38.7,2.9,3.5,83.4,0.6,4.2,4.8,5.3,0.7,0.2,2.2,19.5
8,Trae Young,ATL,51,36.5,26.4,8.2,19.3,42.6,3.3,8.9,37.1,6.6,7.8,85.6,0.4,2.3,2.7,10.8,1.4,0.2,4.3,25
9,Devin Booker,PHX,50,35.8,27.5,9.6,19.4,49.4,2.2,5.8,37.9,6.1,7,88,0.7,3.9,4.6,6.8,0.9,0.4,2.6,27.1
10,Anthony Davis,LAL,59,35.7,24.9,9.5,17,55.9,0.3,1.2,26.4,5.6,6.9,81.5,3.1,9.2,12.3,3.6,1.1,2.5,2,33.6
11,Donovan Mitchell,CLE,47,35.7,28,9.7,20.4,47.2,3.4,9.1,37.1,5.3,6.1,86.1,0.9,4.5,5.4,6.2,1.8,0.5,2.9,27.3
12,Jayson Tatum,BOS,57,35.7,27.1,9.2,19.2,47.8,3.1,8.4,36.9,5.6,6.8,82.9,0.8,7.6,8.4,4.8,1,0.6,2.5,28.3
13,De'Aaron Fox,SAC,52,35.7,26.8,9.7,20.6,47.2,2.8,7.6,36.8,4.5,6.3,70.9,0.9,3.3,4.2,5.7,1.9,0.4,2.7,23.5
14,Domantas Sabonis,SAC,60,35.7,19.9,8,13.2,60.8,0.5,1.1,41.8,3.4,4.8,69.3,3.5,9.9,13.4,8.4,0.9,0.6,3.3,33.1
15,Julius Randle,NYK,46,35.4,24,8.6,18.2,47.2,1.7,5.3,31.1,5.1,6.6,78.1,2.2,7,9.2,5,0.5,0.3,3.5,24.5
16,Jalen Brunson,NYK,57,35.4,27.2,9.6,20.2,47.7,2.6,6.5,40.7,5.3,6.2,84.6,0.6,3.1,3.7,6.6,0.9,0.2,2.5,24.5
